Brand,Model,Body,Color,Fuel,Kilometers,Engine,Transmission,Price,Gov,Age_of_Car
Hyundai,Accent,Sedan,Black,Benzine,159999,1600,Automatic,140000.0,Giza,15
Hyundai,Accent,Sedan,Silver,Benzine,199999,1300,Manual,78000.0,Qena,17
Hyundai,Accent,Sedan,Gray,Benzine,159999,1500,Manual,70000.0,Giza,23
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,159999,1600,Automatic,150000.0,Cairo,13
Hyundai,Accent,Sedan,Silver,Benzine,19999,1300,Manual,75000.0,Giza,22
Hyundai,Accent,Sedan,Green,Benzine,200000,1300,Manual,57000.0,Cairo,22
Hyundai,Accent,Sedan,Red,Benzine,99999,1500,Automatic,185000.0,Minya,10
Hyundai,Accent,Sedan,Gold,Benzine,199999,1500,Manual,70000.0,Giza,23
Hyundai,Accent,Sedan,Red,Benzine,119999,1600,Automatic,185000.0,Cairo,12
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,179999,1300,Manual,90000.0,Alexandria,16
Hyundai,Accent,Sedan,Silver,Benzine,19999,1300,Manual,80000.0,Dakahlia,17
Hyundai,Accent,Sedan,Silver,Benzine,199999,1600,Automatic,200000.0,Alexandria,7
Hyundai,Accent,Sedan,Gold,Benzine,139999,1600,Automatic,165000.0,Giza,10
Hyundai,Accent,Sedan,Silver,Benzine,159999,1500,Automatic,256000.0,Cairo,5
Hyundai,Accent,Sedan,Other Color,Benzine,200000,1300,Manual,67000.0,Suez,21
Hyundai,Accent,Sedan,Black,Benzine,119999,1600,Manual,165000.0,Sharqia,11
Hyundai,Accent,Sedan,Black,Benzine,139999,1600,Automatic,185000.0,Cairo,10
Hyundai,Accent,Sedan,Black,Benzine,9999,1600,Automatic,175000.0,Sharqia,12
Hyundai,Accent,Sedan,Gray,Benzine,200000,1600,Manual,75000.0,Alexandria,26
Hyundai,Accent,Sedan,Silver,Benzine,200000,1500,Manual,130000.0,Minya,14
Hyundai,Accent,Sedan,Red,Benzine,29999,1600,Automatic,320000.0,Cairo,2
